obiekt,sekwencja,l.sekwencji,l.znakow,cykliczna
BRUMC1,BRUMC1,1,8,
BRUMC2,BRUMC2,1,2,a
BRUMC3,BRUMC3,1,2,a
BRUMC4,BRUMC4,1,2,a
COLA02,COLA02,1,8,
COLA03,COLA03,1,8,
COLA06,COLA06,1,10,
COLA07,COLA07,1,10,
COLA15,COLA15,1,2,a
COLA29,COLA29,1,4,
COLA30,COLA30,1,4,
COLA43,COLA43,1,3,a
COLA44,COLA44,1,2,a
COLA45,COLA45,1,2,a
COLA46,COLA46,1,2,a
COLA47,COLA47,1,2,a
COLA50,COLA50,1,8,
COLA54,COLA54,1,2,a
COLA56,COLA56,1,2,a
COLA57,COLA57,1,2,a
COLA59,COLA59,1,2,
COLA61,COLA61,1,2,a
COLA62,COLA62,1,2,a
COLA63,COLA63,1,2,a
COLA65,COLA65,1,2,a
EMB-VA11809,EMB-VA11809,1,2,a
EMB-VA11810,EMB-VA11810,1,2,a
EMB-VA11811,EMB-VA11811,1,2,a
EMB-VA12368,EMB-VA12368,1,2,a
EMB-VA12369,EMB-VA12369,1,2,a
EMB-VA12370,EMB-VA12370,1,2,a
EMB-VA12430,EMB-VA12430,1,2,a
EMB-VA12462,EMB-VA12462,1,2,a
EMB-VA12463,EMB-VA12463,1,2,a
EMB-VA12490,EMB-VA12490,1,2,a
EMB-VA12593,EMB-VA12593,1,2,a
EMB-VA12606,EMB-VA12606,1,2,a
EMB-VA12607,EMB-VA12607,1,2,a
EMB-VA12712,EMB-VA12712,1,2,a
EMB-VA12713,EMB-VA12713,1,2,a
EMB-VA12720,EMB-VA12720,1,2,a
EMB-VA12721,EMB-VA12721,1,2,a
EMB-VA12724,EMB-VA12724,1,2,a
EMB-VA12736,EMB-VA12736,1,4,0
EMB-VA28404,EMB-VA28404,1,8,0
EMB-VA44371,EMB-VA44371,1,4,0
EMB-VA8916,EMB-VA8916,1,11,
HMV-63.54.15,HMV-63.54.15,1,4,a
HMV-63.54.6,HMV-63.54.6,1,8,0
HMV-63.54.9,HMV-63.54.9,1,2,a
HMV-63.54.4,HMV-63.54.4,1,2,a
HMV-63.54.7,HMV-63.54.7,1,1,a
LAY1,LAY1,1,8,0
MA7525,MA7525,1,9,0
MA7540,MA7540,1,8,0
MA7547,MA7547,1,2,a
MA754X,MA754X,1,12,
MA7550,MA7550,1,2,a
MA7554,MA7554,1,8,0
MA7566,MA7566,1,6,a
MAL0341(2.3.595),MAL0341(2.3.595),1,2,a
MAL23.030.10,MAL23.030.10,1,2,a
MIMAC139,MIMAC139,1,8,
MIMO-MAC164,MIMO-MAC164,1,11,0
MIMOMA256,MIMOMA256,1,10,0
MIMOMA257,MIMOMA257,1,8,0
MIMOMA258,MIMOMA258,1,8,0
MIMOMA259,MIMOMA259,1,8,0
MIMOMA263,MIMOMA263,1,8,
MIMOMA265,MIMOMA265,1,8,
MIMOMA277,MIMOMA277,1,8,
MIMOMA284,MIMOMA284,1,10,
MIMoMA297,MIMoMA297,1,4,
MIMOMA303,MIMOMA303,1,8,
MIMOMA518,MIMOMA518,1,4,
MIMOMAC125,MIMOMAC125,1,7,
MIMOMAC165,MIMOMAC165,1,8,0
MKSL364,MKSL364,1,2,a
MKSL400,MKSL400,1,8,0
ML-400676,ML-400676,1,8,0
ML400678,ML400678,1,2,a
MLP-1451,MLP-1451,1,4,0
MLP-4275,MLP-4275,1,5,0
MLP-4276,MLP-4276,1,4,0
MLP1446,MLP1446,1,8,0
MLP1447,MLP1447,1,8,0
MLP1448,MLP1448,1,10,0
MMPCFB3537,MMPCFB3537,1,2,a
MMPCFB3538,MMPCFB3538,1,2,a
MMPCFB3539,MMPCFB3539,1,2,a
MMPCFB3644,MMPCFB3644,1,2,a
MMPCFB3645,MMPCFB3645,1,2,a
MNAAH-Mo0067,MNAAH-Mo0067,1,8,0
MNAAH-Mo0087,MNAAH-Mo0087,1,4,0
MNAAH-Mo10400,MNAAH-Mo10400,1,8,0
MNAAH-Mo4029,MNAAH-Mo4029,1,4,0
MOMA532,MOMA532,1,2,
MOMA540,MOMA540,1,2,
MPR965,MPR965,1,2,a
MPR966,MPR966,1,2,a
MQB71.1908,MQB71.1908,1,2,a
MTMNA-1001-CFD15784,MTMNA-1001-CFD15784,1,2,a
MTMNA-1002-CFD-15775,MTMNA-1002-CFD-15775,1,2,a
MTMNA-1009-CFD-15777,MTMNA-1009-CFD-15777,1,2,a
MTMNA-16?0-624,MTMNA-16?0-624,1,2,a
MTMNA-1629-573,MTMNA-1629-573,1,2,a
MTMNA-1630-574,MTMNA-1630-574,1,2,a
MTMNA-1631-575,MTMNA-1631-575,1,6,
MTMNA-1635-579,MTMNA-1635-579,1,2,a
MTMNA-1637-581,MTMNA-1637-581,1,2,a
MTMNA-1638-582,MTMNA-1638-582,1,2,a
MTMNA-1640-584,MTMNA-1640-584,1,2,a
MTMNA-1642-586,MTMNA-1642-586,1,2,a
MTMNA-1643-587,MTMNA-1643-587,1,2,a
MTMNA-1669-613,MTMNA-1669-613,1,2,a
MTMNA-1682-626,MTMNA-1682-626,1,2,a
MTMNA-1687-631,MTMNA-1687-631,1,2,a
MTMNA-1689-633,MTMNA-1689-633,1,2,a
MTMNA-1704-648,MTMNA-1704-648,1,2,a
MTMNA-1706-650,MTMNA-1706-650,1,2,a
MTMNA-1710-654,MTMNA-1710-654,1,2,a
MTMNA-1712-656,MTMNA-1712-656,1,2,a
MTMNA-1721-665,MTMNA-1721-665,1,2,a
MTMNA-1729-668,MTMNA-1729-668,1,2,a
MTMNA-1730-674,MTMNA-1730-674,1,6,
MTMNA-1731-675,MTMNA-1731-675,1,2,a
MTMNA-1740-683,MTMNA-1740-683,1,2,a
MTMNA-988-CFD15779,MTMNA-988-CFD15779,1,2,a
MTMNA-990-CFD-15791,MTMNA-990-CFD-15791,1,2,a
MTMNA-XX1-IMG3984,MTMNA-XX1-IMG3984,1,2,a
MTMNA1725-669,MTMNA1725-669,1,2,a
MTMNA994-CFD15778,MTMNA994-CFD15778,1,2,a
MTTiaMNA1703647,MTTiaMNA1703647,1,2,a
MTTiaMNA1742685,MTTiaMNA1742685,1,2,a
MUNSA-0006691,MUNSA-0006691,1,8,
MUNSA-0006692,MUNSA-0006692,1,8,
MUNSA-0051135,MUNSA-0051135,1,2,0
MUNSA-005140,MUNSA-005140,1,4,0
MUNSA-005216,MUNSA-005216,1,2,
MUNSA-114,MUNSA-114,1,2,a
MUNSA-154INCLHS,MUNSA-154INCLHS,1,6,a
MUNSA-196,MUNSA-196,1,2,0
MUNSA-CS03,MUNSA-CS03,1,2,a
MUNSA-CS21,MUNSA-CS21,1,8,0
MUNSA-CS29,MUNSA-CS29,1,4,
MUNSA-CS33,MUNSA-CS33,1,2,
MUNSA-CS34,MUNSA-CS34,1,4,0
MUNSA-CS35,MUNSA-CS35,1,2,a
MUNSA-CS66,MUNSA-CS66,1,4,0
MUNSA-CS68,MUNSA-CS68,1,6,
MUNSA-CS73,MUNSA-CS73,1,4,0
MUNSA-CS75,MUNSA-CS75,1,2,a
MUNSA-CS77,MUNSA-CS77,1,2,a
MUNSA-Ya1004-64,MUNSA-Ya1004-64,1,2,a
MUNSA-YaSN1,MUNSA-YaSN1,1,2,a
MUS1,MUS1,1,8,
MUS10,MUS10,1,2,a
MUS12,MUS12,1,4,
MUS13,MUS13,1,4,
MUS14,MUS14,1,4,
MUS15,MUS15,1,2,a
MUS16,MUS16,1,4,
MUS17,MUS17,1,4,
MUS18,MUS18,1,4,
MUS19,MUS19,1,5,
MUS20,MUS20,1,9,
MUS21,MUS21,1,4,
MUS23,MUS23,1,1,a
MUS4,MUS4,1,8,
MUS5,MUS5,1,7,
MUS6,MUS6,1,2,a
MUS7,MUS7,1,2,a
MUS8,MUS8,1,2,a
MUS9,MUS9,1,2,a
NM-35-14-1,NM-35-14-1,1,2,a
NM-D6037,NM-D6037,1,9,
NM277,NM277,1,8,0
NM278,NM278,1,8,0
NMAI-15.8337,NMAI-15.8337,1,8,
NMAI-19.904,NMAI-19.904,1,2,a
NMAI-243967,NMAI-243967,1,2,a
NMAI-8169-IZ,NMAI-8169-IZ,1,9,
NMAI-92576,NMAI-92576,1,2,a
NMAI-97658,NMAI-97658,1,2,a
NMAI-XXX,NMAI-XXX,1,11,
PENN-29-143-9,PENN-29-143-9,1,8,
PENN-43-24-1,PENN-43-24-1,1,8,
PRIVMRA,PRIVMRA,1,9,
TOCMAL-MA0840,TOCMAL-MA0840,1,6,a
TOCML400032,TOCML400032,1,6,a
VKGM45.16.1,VKGM45.16.1,1,8,0
WIENMV-174.317,WIENMV-174.317,1,4,0
COLA28,COLA28inf,2,5,a
COLA28,COLA28sup,2,5,a
COLA60,COLA60inf,2,4,a
COLA60,COLA60sup,2,4,a
EMB-VA8918,EMB-VA8918inf,2,4,a
EMB-VA8918,EMB-VA8918sup,2,4,a
MA7511,MA7511inf,2,8,0
MA7511,MA7511sup,2,11,0
MA7524,MA7524inf,2,6,a
MA7524,MA7524sup,2,6,a
MIMAC12,MIMAC12inf,2,8,a
MIMAC12,MIMAC12sup,2,8,a
MIMOMA244,MIMOMA244inf,2,6,a
MIMOMA244,MIMOMA244sup,2,6,a
MIMOMA522,MIMOMA522inf,2,4,
MIMOMA522,MIMOMA522sup,2,4,
MIMOMAC128,MIMOMAC128inf,2,4,a
MIMOMAC128,MIMOMAC128sup,2,4,a
MLP1454,MLP1454inf,2,11,a
MLP1454,MLP1454sup,2,11,a
MMPCFB3540,MMPCFB3540inf,2,10,0
MMPCFB3540,MMPCFB3540sup,2,16,0
MNAAH-Mo0075,MNAAH-Mo0075inf,2,8,0
MNAAH-Mo0075,MNAAH-Mo0075sup,2,8,0
MNAAH-Mo10398,MNAAH-Mo10398inf,2,11,0
MNAAH-Mo10398,MNAAH-Mo10398sup,2,11,0
MOMAC176,MOMAC176inf,2,16,
MOMAC176,MOMAC176sup,2,16,
MQB-MH2001.40.441,MQB-MH2001.40.441inf,2,12,
MQB-MH2001.40.441,MQB-MH2001.40.441sup,2,12,
MTMNA-1729-673,MTMNA-1729-673inf,2,8,
MTMNA-1729-673,MTMNA-1729-673sup,2,8,
MUNSA-CS71,MUNSA-CS71inf,2,8,0
MUNSA-CS71,MUNSA-CS71sup,2,8,0
MUNSA-CS98,MUNSA-CS98inf,2,4,a
MUNSA-CS98,MUNSA-CS98sup,2,4,a
MUS11,MUS11inf,2,7,a
MUS11,MUS11sup,2,7,a
MUS3,MUS3inf,2,13,
MUS3,MUS3sup,2,13,
MIMOMAC54,MIMOMAC54cent,3,11,0
MIMOMAC54,MIMOMAC54inf,3,11,0
MIMOMAC54,MIMOMAC54sup,3,11,0
MTMNA984-CFD-15776,MTMNA984-CFD-15776inf,3,6,a
MTMNA984-CFD-15776,MTMNA984-CFD-15776cent,3,6,a
MTMNA984-CFD-15776,MTMNA984-CFD-15776sup,3,6,a
MUS2,MUS2cent,3,5,a
MUS2,MUS2inf,3,5,a
MUS2,MUS2sup,3,5,a
NMAI-19.905,NMAI-19.905cent,3,9,
NMAI-19.905,NMAI-19.905inf,3,9,
NMAI-19.905,NMAI-19.905sup,3,9,
CruzC,CruzCbrazo1,4,5,a
CruzC,CruzCbrazo2,4,5,a
CruzC,CruzCinf,4,16,a
CruzC,CruzCsup,4,2,a
MTMNA-1734-678,MTMNA-1734-678,1,6,0
MTMNA-1632-576,MTMNA-1632-576,1,8,0
MUNSA-0007688,MUNSA-0007688,1,8,0
MUNSA-0007686,MUNSA-0007686,1,10,0
HMV-63.54.12,HMV-63.54.12inf,1,16,0
HMV-63.54.12,HMV-63.54.12cent,1,16,0
COLA27,COLA27,1,6,a
